,,National Water Informatics Centre,,,,,,,
,,Volumetric Soilmoisture_Yearly data for States for 2020 to 2024,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Date,Volumetric Soil Moisture (in %),,,,,,,
Rajasthan,2024,12.35,,,,,,,
Sikkim,2020,18.31,,,,,,,
Sikkim,2021,19.1,,,,,,,
Sikkim,2022,17.24,,,,,,,
Sikkim,2023,16.95,,,,,,,
Sikkim,2024,13.22,,,,,,,
TamilNadu,2020,27.81,,,,,,,
TamilNadu,2021,25.08,,,,,,,
TamilNadu,2022,25.02,,,,,,,
TamilNadu,2023,24.6,,,,,,,
TamilNadu,2024,20.69,,,,,,,
Telangana,2020,29.71,,,,,,,
Telangana,2021,25.14,,,,,,,
Telangana,2022,26.16,,,,,,,
Telangana,2023,25.16,,,,,,,
Telangana,2024,18.69,,,,,,,
Tripura,2020,26.28,,,,,,,
Tripura,2021,22.62,,,,,,,
Tripura,2022,23.03,,,,,,,
Tripura,2023,21.8,,,,,,,
Tripura,2024,17.02,,,,,,,
Uttarakhand,2020,22.9,,,,,,,
Uttarakhand,2021,21.11,,,,,,,
Uttarakhand,2022,21.02,,,,,,,
Uttarakhand,2023,20.06,,,,,,,
Uttarakhand,2024,17.23,,,,,,,
Uttar Pradesh,2020,22.63,,,,,,,
Uttar Pradesh,2021,20.39,,,,,,,
Uttar Pradesh,2022,20.24,,,,,,,
Uttar Pradesh,2023,18.99,,,,,,,
Uttar Pradesh,2024,15.78,,,,,,,
West Bengal,2020,26.35,,,,,,,
West Bengal,2021,24.11,,,,,,,
West Bengal,2022,23.41,,,,,,,
West Bengal,2023,21.8,,,,,,,
West Bengal,2024,16.23,,,,,,,
,,,,,,,,,
,,,,,,,,,
This sheet is downloaded from https://www.indiawris.gov.in/,,,,,,,,,
